gameID,Time,season,homeGoals,awayGoals,temp,dewPointC,humidity,windSpeedKPH,weather,HTGoalsHome,HTGoalsAway
348,18:05:00,2015,3,2,7.6,7.53,100,12.96,Isolated Showers,2,1
349,23:45:00,2015,1,3,8.63,8.63,100,4.26,Rain Showers,0,2
350,23:45:00,2015,2,0,8.31,4.09,75,17.59,Rain Showers,1,0
351,23:45:00,2015,2,2,7.7,7.53,99,9.28,Rain Showers,2,1
352,23:45:00,2015,2,2,7.94,7.24,95,14.82,Isolated Showers,1,0
353,23:45:00,2015,1,2,9.38,9.38,100,6.48,Rain Showers,0,2
354,23:45:00,2015,1,0,5.61,2.4,80,7.41,Mostly Clear,1,0
355,23:45:00,2015,1,2,5.32,2.39,81,7.41,Mostly Clear,1,1
356,23:45:00,2015,1,0,2.43,0.75,89,7.41,Partly Cloudy,0,0
357,00:00:00,2015,3,0,6.33,2.35,76,27.56,Isolated Showers,2,0
358,00:00:00,2015,1,0,5.66,0.92,72,20.6,Rain Showers,0,0
359,16:45:00,2015,2,2,14.54,2.89,45,5.56,Cloudy,0,1
360,19:00:00,2015,1,1,13.96,1.76,44,6.67,Mostly Sunny,0,0
361,19:00:00,2015,1,0,11.09,6.25,72,14.87,Partly Cloudy,0,0
362,19:00:00,2015,1,1,13.26,4.52,55,3.7,Mostly Cloudy,1,0
363,19:00:00,2015,2,3,12.72,5.02,59,8.92,Partly Cloudy,1,0
364,19:00:00,2015,4,0,12.31,1.73,48,5.56,Cloudy,0,0
365,19:00:00,2015,1,3,10.17,3.19,62,19.45,Mostly Sunny,0,1
366,21:30:00,2015,0,1,9.04,4.99,76,7.41,Partly Cloudy,0,0
367,17:30:00,2015,1,2,13.67,9.86,78,5.56,Rain Showers,0,0
368,20:00:00,2015,1,0,15.21,10.82,75,7.41,Rain Showers,0,0
369,16:45:00,2015,0,0,5.83,2.94,82,9.47,Mostly Cloudy,0,0
370,19:00:00,2015,1,2,5,2.47,84,12.96,Partly Cloudy,0,2
371,19:00:00,2015,3,2,4.36,-0.94,68,16.67,Clear,1,1
